ID,TIME,FEEDBACK,N_FIGURES,TRIAL,SELECTED,RS,ACCURACY,LATENCY
39,45,1,2,training,D3,63,0,
39,45,1,2,training,D2,50,0,
39,60,0,3,experiment,D3,75,0,45.3500411
39,60,0,2,experiment,D4,75,0,22.0288093
39,60,0,2,experiment,D4,75,0,19.0365088
39,60,0,4,experiment,D2,25,0,34.1254066
39,60,0,4,experiment,D5,100,1,32.8604177
39,60,0,3,experiment,D3,75,0,16.5420698
39,60,0,2,experiment,D0,0,0,10.3063056
39,60,0,2,experiment,D1,25,0,43.4041793
39,60,0,3,experiment,D5,100,1,32.1724516
39,60,0,3,experiment,D5,100,1,12.9294843
39,60,0,3,experiment,D2,33,0,24.4995611
39,60,0,2,experiment,D4,75,0,12.4495136
39,60,0,3,experiment,D4,83,0,
39,60,0,4,experiment,D1,12,0,20.2948647
39,60,0,4,experiment,D3,81,0,12.1259172
39,60,0,4,experiment,D2,25,0,15.3507893
39,60,0,2,experiment,D0,0,0,
39,60,0,4,experiment,D0,0,0,13.596362
40,45,1,2,training,D2,50,0,
40,45,1,2,training,D1,25,0,
40,60,0,3,experiment,D4,83,0,48.4184938
40,60,0,2,experiment,D5,100,1,51.6754795
40,60,0,3,experiment,D5,100,1,39.8090958
40,60,0,2,experiment,D1,25,0,49.1169996
40,60,0,2,experiment,D3,63,0,32.5535043
40,60,0,4,experiment,D0,0,0,
40,60,0,3,experiment,D2,33,0,
40,60,0,2,experiment,D0,0,0,42.683123
40,60,0,2,experiment,D1,25,0,10.5024224
40,60,0,2,experiment,D1,25,0,34.6808472
40,60,0,4,experiment,D2,25,0,39.9357986
40,60,0,4,experiment,D2,25,0,36.4869758
40,60,0,4,experiment,D2,25,0,
40,60,0,3,experiment,D3,75,0,
40,60,0,3,experiment,D5,100,0,
40,60,0,4,experiment,D2,25,0,38.2804423
40,60,0,3,experiment,D2,33,0,
40,60,0,4,experiment,D4,87,0,
41,45,1,2,training,NO,,0,
41,45,1,2,training,D5,100,0,
41,60,0,4,experiment,D5,100,0,
41,60,0,3,experiment,D2,33,0,
41,60,0,3,experiment,NO,,0,
41,60,0,4,experiment,D4,87,0,28.4245272
41,60,0,2,experiment,D1,25,0,
41,60,0,3,experiment,D5,100,1,34.6872706
41,60,0,4,experiment,D5,100,1,40.97107
41,60,0,2,experiment,D5,100,1,45.500543
41,60,0,3,experiment,D5,100,1,43.5978501
41,60,0,4,experiment,NO,,0,
41,60,0,2,experiment,D5,100,1,35.9741757
41,60,0,2,experiment,D4,75,0,44.1184779
41,60,0,2,experiment,D5,100,1,52.0664278
41,60,0,2,experiment,NO,,0,
41,60,0,4,experiment,NO,,0,
41,60,0,3,experiment,D5,100,1,51.6413878
41,60,0,3,experiment,D5,100,1,34.5779699
41,60,0,4,experiment,D4,87,0,39.0891563
42,45,1,2,training,NO,,0,
42,45,1,2,training,D1,25,0,
42,60,0,2,experiment,D1,25,0,
42,60,0,3,experiment,D4,83,0,43.8330212
42,60,0,4,experiment,D5,100,0,
42,60,0,2,experiment,D5,100,1,43.8926296
42,60,0,3,experiment,D4,83,0,44.7962664
42,60,0,2,experiment,D4,75,0,33.3944325
42,60,0,4,experiment,D3,81,0,52.7675554
42,60,0,4,experiment,D5,100,1,43.9362775
42,60,0,4,experiment,D5,100,1,41.7141051
42,60,0,2,experiment,D5,100,1,40.4222775
42,60,0,2,experiment,D5,100,1,54.294322
42,60,0,3,experiment,D1,16,0,
42,60,0,4,experiment,D5,100,1,43.2083179
42,60,0,3,experiment,D3,75,0,28.2484342
42,60,0,4,experiment,D5,100,1,27.2947925
42,60,0,3,experiment,D4,83,0,23.8973296
42,60,0,3,experiment,D5,100,1,30.452418
42,60,0,2,experiment,D5,100,1,44.2280137
43,45,1,2,training,D0,0,0,
43,45,1,2,training,D1,25,0,
43,60,0,3,experiment,D1,16,0,
43,60,0,2,experiment,D5,100,0,
43,60,0,3,experiment,D5,100,0,
43,60,0,3,experiment,D2,33,0,
43,60,0,3,experiment,D3,75,0,
43,60,0,4,experiment,D5,100,0,
43,60,0,4,experiment,D4,87,0,
43,60,0,4,experiment,D4,87,0,
43,60,0,4,experiment,D3,81,0,
43,60,0,3,experiment,D5,100,1,55.452415
43,60,0,4,experiment,D4,87,0,
43,60,0,2,experiment,D2,50,0,54.2292567
43,60,0,2,experiment,D1,25,0,53.2750013
43,60,0,2,experiment,D1,25,0,40.7614993
43,60,0,4,experiment,D0,0,0,38.7748401
43,60,0,2,experiment,D5,100,1,20.0671881
43,60,0,2,experiment,D4,75,0,15.5076137
43,60,0,3,experiment,D5,100,0,
44,45,1,2,training,D3,63,0,
44,45,1,2,training,D0,0,0,
44,60,0,4,experiment,D4,87,0,40.4270804
44,60,0,4,experiment,D5,100,1,56.8554241
44,60,0,4,experiment,D4,87,0,59.8989229
44,60,0,3,experiment,D1,16,0,57.4223736
44,60,0,2,experiment,D5,100,1,57.5377004
44,60,0,2,experiment,D4,75,0,53.9104014
44,60,0,4,experiment,D0,0,0,54.6055878
44,60,0,2,experiment,D4,75,0,43.8061534
44,60,0,4,experiment,D5,100,1,27.1957674
