ID,TIME,FEEDBACK,N_FIGURES,TRIAL,RM,SELECTED,LATENCY,ACCURACY
AK2611MALE28,120,0,3,experiment,75,D3,11.5276843,0
AK2611MALE28,120,0,2,experiment,100,D5,40.6205006,1
AK2611MALE28,120,0,4,experiment,87,D4,,0
AK2611MALE28,120,0,3,experiment,100,D5,35.451328,1
AK2611MALE28,120,0,2,experiment,25,D1,56.3946018,0
AK2611MALE28,120,0,2,experiment,100,D5,25.4464476,1
AK2611MALE28,120,0,4,experiment,100,D5,26.5633417,1
AK2611MALE28,120,0,2,experiment,63,D3,65.4238217,0
AM0902MALE20,150,1,2,training,25,D1,,0
AM0902MALE20,150,1,2,training,0,D0,,0
AM0902MALE20,120,0,4,experiment,100,D5,77.8304584,1
AM0902MALE20,120,0,3,experiment,100,D5,53.6344105,1
AM0902MALE20,120,0,3,experiment,75,D3,35.3035553,0
AM0902MALE20,120,0,2,experiment,100,D5,48.246887,1
AM0902MALE20,120,0,2,experiment,25,D1,,0
AM0902MALE20,120,0,3,experiment,100,D5,34.3980954,1
AM0902MALE20,120,0,2,experiment,100,D5,,0
AM0902MALE20,120,0,3,experiment,16,D1,12.7768233,0
AM0902MALE20,120,0,4,experiment,25,D2,,0
AM0902MALE20,120,0,3,experiment,16,D1,10.817825,0
AM0902MALE20,120,0,4,experiment,100,D5,21.8222468,1
AM0902MALE20,120,0,2,experiment,50,D2,22.1418597,0
AM0902MALE20,120,0,2,experiment,75,D4,,0
AM0902MALE20,120,0,4,experiment,81,D3,,0
AM0902MALE20,120,0,3,experiment,100,D5,,0
AM0902MALE20,120,0,4,experiment,100,D5,13.9361149,1
AM0902MALE20,120,0,4,experiment,25,D2,12.8982689,0
AM0902MALE20,120,0,2,experiment,100,D5,41.331692,1
AM1208MALE20,150,1,2,training,100,D5,,1
AM1208MALE20,150,1,2,training,100,D5,,1
AM1208MALE20,120,0,3,experiment,100,D5,76.757419,1
AM1208MALE20,120,0,2,experiment,100,D5,73.5055128,1
AM1208MALE20,120,0,3,experiment,100,D5,96.4093999,1
AM1208MALE20,120,0,3,experiment,100,D5,63.7698825,1
AM1208MALE20,120,0,2,experiment,,NO,,0
AM1208MALE20,120,0,3,experiment,100,D5,87.0153845,1
AM1208MALE20,120,0,4,experiment,100,D5,85.4517209,1
AM1208MALE20,120,0,4,experiment,100,D5,78.0163328,1
AM1208MALE20,120,0,4,experiment,100,D5,66.6673159,1
AM1208MALE20,120,0,3,experiment,100,D5,86.4275128,1
AM1208MALE20,120,0,2,experiment,100,D5,67.1220425,1
AM1208MALE20,120,0,4,experiment,100,D5,73.441901,1
AM1208MALE20,120,0,3,experiment,100,D5,49.4019185,1
AM1208MALE20,120,0,2,experiment,100,D5,64.3475421,1
AM1208MALE20,120,0,4,experiment,100,D5,55.6946062,1
AM1208MALE20,120,0,2,experiment,100,D5,41.9732841,1
AM1208MALE20,120,0,2,experiment,100,D5,47.2883872,1
AM1208MALE20,120,0,4,experiment,100,D5,47.915108,1
AP0610MALE20,150,1,2,training,25,D1,,0
AP0610MALE20,150,1,2,training,100,D5,,1
AP0610MALE20,120,0,3,experiment,100,D5,25.1036143,1
AP0610MALE20,120,0,4,experiment,0,D0,32.1903961,0
AP0610MALE20,120,0,2,experiment,100,D5,40.1090509,1
AP0610MALE20,120,0,2,experiment,75,D4,62.2694904,0
AP0610MALE20,120,0,4,experiment,87,D4,39.4860345,0
AP0610MALE20,120,0,2,experiment,100,D5,42.6566354,1
AP0610MALE20,120,0,3,experiment,75,D3,41.4834632,0
AP0610MALE20,120,0,3,experiment,100,D5,33.5945578,1
AP0610MALE20,120,0,2,experiment,100,D5,42.9441705,1
AP0610MALE20,120,0,4,experiment,87,D4,24.6578001,0
AP0610MALE20,120,0,2,experiment,75,D4,57.9459989,0
AP0610MALE20,120,0,4,experiment,81,D3,46.7640826,0
AP0610MALE20,120,0,4,experiment,87,D4,50.6186984,0
AP0610MALE20,120,0,2,experiment,100,D5,45.4985348,1
AP0610MALE20,120,0,3,experiment,100,D5,56.8577336,1
AP0610MALE20,120,0,4,experiment,81,D3,28.8395469,0
AP0610MALE20,120,0,3,experiment,83,D4,58.0396653,0
AP0610MALE20,120,0,3,experiment,33,D2,49.3595138,0
